嗚呼	ああ	Ah!;Oh!;Alas!
首	くび	neck
首飾り	くびかざり	necklace
首輪	くびわ	necklace;choker
工夫	くふう	device;scheme
区分	くぶん	division;section;demarcation;(traffic) lane;compartment;classification;sorting
区別	くべつ	distinction;differentiation;classification
組	くみ	class;group;team;set
組合	くみあい	association;union
組み合わせ	くみあわせ	combination
組み合わせる	くみあわせる	to join together;to combine;to join up
組み込む	くみこむ	to insert;to include;to cut in (printing)
組み立てる	くみたてる	to assemble;to set up;to construct
組む	くむ	to put together
汲む	くむ	to draw (water);to ladle;to dip;to scoop;to pump;to have a drink together;to consider;to sympathize with
酌む	くむ	to serve sake
雲	くも	cloud
曇り	くもり	cloudiness;cloudy weather;shadow
曇る	くもる	to become cloudy;to become dim
悔しい	くやしい	regrettable;mortifying;vexing
悔やむ	くやむ	to mourn
蔵	くら	warehouse;cellar;magazine;granary;godown;depository;treasury;elevator
位	くらい	grade;rank;court order;dignity;nobility;situation;throne;crown;occupying a position;about;almost;as;rather;at least;enough to
暗い	くらい	dark;gloomy
位	くらい	grade;rank;court order;dignity;nobility;situation;throne;crown;occupying a position;about;almost;as;rather;at least;enough to
暮らし	くらし	living;livelihood;subsistence;circumstances
暮らす	くらす	to live;to get along
比べる	くらべる	to compare
繰り返す	くりかえす	to repeat;to do something over again
狂う	くるう	to go mad;to get out of order
苦しい	くるしい	painful;difficult
苦しむ	くるしむ	to suffer;to groan;to be worried
苦しめる	くるしめる	to torment;to harass;to inflict pain
車	くるま	car;vehicle;wheel
車	くるま	car;vehicle;wheel
包む	くるむ	to be engulfed in;to be enveloped by;to wrap up;to tuck in;to pack;to do up;to cover with;to dress in;to conceal
包む	くるむ	to be engulfed in;to be enveloped by;to wrap up;to tuck in;to pack;to do up;to cover with;to dress in;to conceal
暮れ	くれ	year end;sunset;nightfall;end
呉れ呉れも	くれぐれも	repeatedly;sincerely;earnestly
呉れる	くれる	to give;to let one have;to do for one;to be given
暮れる	くれる	to get dark;to end;to come to an end;to close;to run out
黒	くろ	black;dark
黒い	くろい	black
苦労	くろう	troubles;hardships
玄人	くろうと	expert;professional;geisha;prostitute
黒字	くろじ	balance (figure) in the black
加える	くわえる	to append;to sum up;to add (up);to include;to increase;to inflict
加える	くわえる	to append;to sum up;to add (up);to include;to increase;to inflict
詳しい	くわしい	knowing very well;detailed;full;accurate
加わる	くわわる	to join in;to accede to;to increase;to gain in (influence)
君	くん	Mr (junior);master;boy
君主	くんしゅ	ruler;monarch
訓練	くんれん	practice
具合	ぐあい	condition;state;manner;health
偶数	ぐうすう	even number
偶然	ぐうぜん	(by) chance;unexpectedly;suddenly;accident;fortuity
具体	ぐたい	concrete;tangible;material
愚痴	ぐち	idle complaint;grumble
	ぐっすり	sound asleep;fast asleep
	ぐっと	firmly;fast;much;more
	ぐらい	approximately
群	ぐん	group (math)
郡	ぐん	country;district
群	ぐん	group (math)
軍艦	ぐんかん	warship;battleship
群集	ぐんしゅう	(social) group;crowd;throng;mob;multitude
軍事	ぐんじ	military affairs
軍隊	ぐんたい	army;troops
軍備	ぐんび	armaments;military preparations
軍服	ぐんぷく	military or naval uniform
毛	け	hair;fur
毛	け	hair;fur
刑	けい	penalty;sentence;punishment
計	けい	plan
頃	けい	time;about;toward;approximately (time)
傾	けい	lean;incline
系	けい	system;lineage;group
敬意	けいい	respect;honour
経営	けいえい	management;administration
経過	けいか	passage;expiration;progress
軽快	けいかい	rhythmical (e.g. melody);casual (e.g. dress);light;nimble
警戒	けいかい	warning;admonition;vigilance
計画	けいかく	plan;project;schedule;scheme;program
警官	けいかん	policeman
計器	けいき	meter;gauge
契機	けいき	opportunity;chance
景気	けいき	condition;state;business (condition)
敬具	けいぐ	Sincerely yours
経験	けいけん	experience
軽減	けいげん	abatement
稽古	けいこ	practice;training;study
傾向	けいこう	tendency;trend;inclination
蛍光灯	けいこうとう	fluorescent lamp;person who is slow to react
警告	けいこく	warning;advice
敬語	けいご	honorific;term of respect
掲載	けいさい	appearance (e.g. article in paper)
警察	けいさつ	police
計算	けいさん	calculation;reckoning
経済	けいざい	economics;business;finance;economy
形式	けいしき	form;formality;format;math expression
傾斜	けいしゃ	inclination;slant;slope;bevel;list;dip
掲示	けいじ	notice;bulletin
刑事	けいじ	criminal case;(police) detective
形成	けいせい	formation
形勢	けいせい	condition;situation;prospects
軽率	けいそつ	rash;thoughtless;careless;hasty
継続	けいぞく	continuation
携帯	けいたい	carrying something
形態	けいたい	form;shape;figure
毛糸	けいと	knitting wool
系統	けいとう	system;family line;geological formation;lineage;ancestry
経度	けいど	longitude
競馬	けいば	horse racing
刑罰	けいばつ	judgement;penalty;punishment
経費	けいひ	expenses;cost;outlay
警備	けいび	defense;guard;policing;security
警部	けいぶ	police inspector
軽蔑	けいべつ	scorn;disdain
契約	けいやく	contract;compact;agreement
経由	けいゆ	go by the way;via
形容詞	けいようし	true adjective
形容動詞	けいようどうし	adjectival noun;quasi-adjective
経歴	けいれき	personal history;career
経路	けいろ	course;route;channel
怪我	けが	injury (to animate object);hurt
汚す	けがす	to disgrace;to dishonour
汚らわしい	けがらわしい	filthy;unfair
汚れ	けがれ	uncleanness;impurity;disgrace
汚れる	けがれる	to get dirty;to become dirty
毛皮	けがわ	fur;skin;pelt
今朝	けさ	this morning
景色	けしき	scenery;scene;landscape
化粧	けしょう	make-up (cosmetic)
消しゴム	けしゴム	eraser;India rubber
消す	けす	to erase;to delete;to turn off power
削る	けずる	to shave (wood or leather);to sharpen;to plane;to whittle;to pare;to scrape off;to crossout;to reduce;to curtail
桁	けた	column;beam;digit
獣	けだもの	beast;brute
獣	けだもの	beast;brute
吝嗇	けち	stinginess;miser;miserliness;skinflint;tightwad;niggard;pinching pennies
結果	けっか	result;consequence
結核	けっかく	tuberculosis;tubercule
血管	けっかん	blood vessel
欠陥	けっかん	defect;fault;deficiency
結局	けっきょく	after all;eventually
決行	けっこう	doing (with resolve);carrying out (i.e. a plan)
結構	けっこう	1.  (uk) splendid;nice;well enough;tolerably;wonderful;delicious;sweet; 2.  (arch) construction;architecture
結婚	けっこん	marriage
傑作	けっさく	masterpiece;best work;boner;blunder
決算	けっさん	balance sheet;settlement of accounts
決して	けっして	never;by no means
決勝	けっしょう	decision of a contest;finals (in sports)
結晶	けっしょう	crystal;crystallization
決心	けっしん	determination;resolution
結成	けっせい	formation
欠席	けっせき	absence;non-attendance
結束	けっそく	union;unity
決定	けってい	decision;determination
欠点	けってん	faults;defect;weakness
傑	けつ	excellence
血圧	けつあつ	blood pressure
決意	けつい	decision;determination
血液	けつえき	blood
決議	けつぎ	resolution;vote;decision
結合	けつごう	combination;union
決断	けつだん	decision;determination
欠乏	けつぼう	want;shortage;famine
結論	けつろん	conclusion
蹴飛ばす	けとばす	to kick away;to kick off;to kick (someone);to refuse;to reject
貶す	けなす	to speak ill of
煙い	けむい	smoky
煙たい	けむたい	smoky;feeling awkward
煙	けむり	smoke;fumes
煙る	けむる	to smoke (e.g. fire)
家来	けらい	retainer;retinue;servant
蹴る	ける	to kick
	けれど	but;however
険しい	けわしい	inaccessible place;impregnable position;steep place;sharp eyes
券	けん	ticket;coupon;bond;certificate
圏	けん	sphere;circle;range
権	けん	authority;the right (to do something)
権威	けんい	authority;power;influence
喧嘩	けんか	quarrel;(drunken) brawl;failure
見解	けんかい	opinion;point of view
見学	けんがく	inspection;study by observation;field trip
研究	けんきゅう	study;research;investigation
謙虚	けんきょ	modesty;humility
兼業	けんぎょう	side line;second business
権限	けんげん	power;authority;jurisdiction
健康	けんこう	health;sound;wholesome
検査	けんさ	inspection (e.g. customs  factory);examination
健在	けんざい	in good health;well
研修	けんしゅう	training
懸賞	けんしょう	offering prizes;winning;reward
検事	けんじ	public prosecutor
建設	けんせつ	construction;establishment
健全	けんぜん	health;soundness;wholesome
謙遜	けんそん	humble;humility;modesty
見地	けんち	point of view
建築	けんちく	construction;architecture
県庁	けんちょう	prefectural office
見当	けんとう	be found;aim;mark;estimate;guess;approx;direction
検討	けんとう	consideration;examination;investigation;study;scrutiny
顕微鏡	けんびきょう	microscope
見物	けんぶつ	sightseeing
憲法	けんぽう	constitution
賢明	けんめい	wisdom;intelligence;prudence
懸命	けんめい	eagerness;earnestness;risking one's life
倹約	けんやく	thrift;economy;frugality
兼用	けんよう	multi-use;combined use;combination;serving two purposes
権利	けんり	right;privilege
権力	けんりょく	power;authority;influence
芸術	げいじゅつ	(fine) art;the arts
芸能	げいのう	public entertainment;accomplishments;attainments
外科	げか	surgical department
劇	げき	drama;play
隙	げき	1.  chance or opportunity;chink (in one's armor); 2.  interval;gap
劇場	げきじょう	theatre;playhouse
激増	げきぞう	sudden increase
劇団	げきだん	troupe;theatrical company
激励	げきれい	encouragement
下車	げしゃ	alighting
下宿	げしゅく	boarding;lodging;boarding house
下旬	げじゅん	month (last third of)
下水	げすい	drainage;sewage;ditch;gutter;sewerage
下駄	げた	geta (Japanese footwear);wooden clogs
月給	げっきゅう	monthly salary
月謝	げっしゃ	monthly tuition fee
	げっそり	being disheartened;losing weight
月賦	げっぷ	monthly installment
月末	げつまつ	end of the month
月曜	げつよう	Monday
下痢	げり	diarrhoea
原	げん	original;primitive;primary;fundamental;raw
原	げん	original;primitive;primary;fundamental;raw
原因	げんいん	cause;origin;source
限界	げんかい	limit;bound
玄関	げんかん	entranceway;entry hall
元気	げんき	health(y);robust;vigor;energy;vitality;vim;stamina;spirit;courage;pep
現金	げんきん	cash;ready money;mercenary;self-interested
原形	げんけい	original form;base form
現行	げんこう	present;current;in operation
原稿	げんこう	manuscript;copy
言語	げんご	language
原作	げんさく	original work
原産	げんさん	place of origin;habitat
現在	げんざい	present;up to now;nowadays;modern times;current
原子	げんし	atom
原始	げんし	origin;primeval
元首	げんしゅ	ruler;sovereign
原書	げんしょ	original document
減少	げんしょう	decrease;reduction;decline
現象	げんしょう	phenomenon
現実	げんじつ	reality
厳重	げんじゅう	strict;rigour;severe;firm;strong;secure
現状	げんじょう	present condition;existing state;status quo
現場	げんじょう	actual spot;scene;scene of the crime
元素	げんそ	chemical element
原則	げんそく	principle;general rule
現像	げんぞう	developing (film)
現代	げんだい	nowadays;modern times;present-day
現地	げんち	actual place;local
限定	げんてい	limit;restriction
原点	げんてん	origin (coordinates);starting point
原典	げんてん	original (text)
減点	げんてん	subtract;give a demerit
限度	げんど	limit;bounds
現に	げんに	actually;really
原爆	げんばく	atomic bomb
原文	げんぶん	the text;original
厳密	げんみつ	strict;close
原油	げんゆ	crude oil
原理	げんり	principle;theory;fundamental truth
原料	げんりょう	raw materials
言論	げんろん	discussion
故	こ	the late (deceased)
子	こ	child
戸	こ	counter for houses
故	こ	the late (deceased)
児	こ	child;the young of animals
巨	こ	big;large;great
恋	こい	love;tender passion
濃い	こい	thick;dense;strong
恋しい	こいしい	1.  dear;beloved;darling; 2.  yearned for
恋する	こいする	to fall in love with;to love
恋人	こいびと	lover;sweetheart
溝	こう	10^38;hundred undecillion (American);hundred sextillion (British)
溝	こう	10^38;hundred undecillion (American);hundred sextillion (British)
	こう	in this way
校	こう	-school;proof
好意	こうい	good will;favor;courtesy
行為	こうい	act;deed;conduct
行員	こういん	bank clerk
幸運	こううん	good luck;fortune
交易	こうえき	trade;commerce
公演	こうえん	public performance
公園	こうえん	(public) park
講演	こうえん	lecture;address
効果	こうか	effect;effectiveness;efficacy;result
硬貨	こうか	coin
高価	こうか	high price
後悔	こうかい	regret;repentance
公開	こうかい	presenting to the public
航海	こうかい	sail;voyage
交換	こうかん	exchange;interchange;reciprocity;barter;substitution;clearing (of checks)
郊外	こうがい	suburb;outskirts
公害	こうがい	public nuisance;pollution
工学	こうがく	engineering
高級	こうきゅう	high class;high grade
皇居	こうきょ	Imperial Palace
好況	こうきょう	prosperous conditions;healthy economy
公共	こうきょう	public;community;public service;society;communal
抗議	こうぎ	protest;objection
講義	こうぎ	lecture
鉱業	こうぎょう	mining industry
興業	こうぎょう	industrial enterprise
工業	こうぎょう	(manufacturing) industry
航空	こうくう	aviation;flying
光景	こうけい	scene;spectacle
貢献	こうけん	contribution;services
工芸	こうげい	industrial arts
攻撃	こうげき	attack;strike;offensive;criticism;censure
高原	こうげん	tableland;plateau
孝行	こうこう	filial piety
高校	こうこう	senior high school
煌々と	こうこうと	brilliantly;brightly
考古学	こうこがく	archaeology
広告	こうこく	advertisement
交互	こうご	mutual;reciprocal;alternate
交差	こうさ	cross
交際	こうさい	company;friendship;association;society;acquaintance
工作	こうさく	work;construction;handicraft;maneuvering
耕作	こうさく	cultivation;farming
交差点	こうさてん	crossing;intersection
鉱山	こうざん	mine (ore)
講師	こうし	lecturer
公式	こうしき	formula;formality;official
校舎	こうしゃ	school building
後者	こうしゃ	the latter
講習	こうしゅう	short course;training
公衆	こうしゅう	the public
交渉	こうしょう	negotiations;discussions;connection
高尚	こうしょう	high;noble;refined;advanced
行進	こうしん	march;parade
香辛料	こうしんりょう	spices
工事	こうじ	construction work
口実	こうじつ	excuse
口述	こうじゅつ	verbal statement
控除	こうじょ	subsidy;deduction
向上	こうじょう	elevation;rise;improvement;advancement;progress
工場	こうじょう	factory;plant;mill;workshop
降水	こうすい	rainfall;precipitation
香水	こうすい	perfume
洪水	こうずい	flood
公正	こうせい	justice;fairness;impartiality
構成	こうせい	organization;composition
功績	こうせき	achievements;merit;meritorious service;meritorious deed
光線	こうせん	beam;light ray
公然	こうぜん	open (e.g. secret);public;official
抗争	こうそう	dispute;resistance
構想	こうそう	plan;plot;idea;conception
高層	こうそう	upper
拘束	こうそく	restriction;restraint
高速	こうそく	high speed;high gear
構造	こうぞう	structure;construction
後退	こうたい	retreat;backspace (BS)
交替	こうたい	alternation;change;relief;relay;shift
光沢	こうたく	brilliance;polish;lustre;glossy finish (of photographs)
公団	こうだん	public corporation
耕地	こうち	arable land
紅茶	こうちゃ	black tea
好調	こうちょう	favourable;promising;satisfactory;in good shape
交通	こうつう	communication;transportation;traffic;intercourse
交通機関	こうつうきかん	transportation facilities
校庭	こうてい	campus
肯定	こうてい	positive;affirmation
口頭	こうとう	oral
高等	こうとう	high class;high grade
高等学校	こうとうがっこう	senior high school
高度	こうど	altitude;height;advanced
行動	こうどう	action;conduct;behaviour;mobilization
講堂	こうどう	auditorium
講読	こうどく	reading;translation
購読	こうどく	subscription (e.g. magazine)
購入	こうにゅう	purchase;buy
公認	こうにん	official recognition;authorization;licence;accreditation
光熱費	こうねつひ	cost of fuel and light
荒廃	こうはい	ruin
後輩	こうはい	junior (at work or school)
購買	こうばい	purchase;buy
交番	こうばん	police box
好評	こうひょう	popularity;favorable reputation
公表	こうひょう	official announcement;proclamation
交付	こうふ	delivering;furnishing (with copies)
降伏	こうふく	capitulation;surrender;submission
幸福	こうふく	happiness;blessedness
興奮	こうふん	excitement;stimulation;agitation;arousal
鉱物	こうぶつ	mineral
公平	こうへい	fairness;impartial;justice
候補	こうほ	candidacy
公募	こうぼ	public appeal;public contribution
巧妙	こうみょう	ingenious;skillful;clever;deft
公務	こうむ	official business;public business
項目	こうもく	item
公用	こうよう	government business;public use;public expense
紅葉	こうよう	autumn colours;maple
紅葉	こうよう	autumn colours;maple
小売	こうり	retail
効率	こうりつ	efficiency
公立	こうりつ	public (institution)
交流	こうりゅう	alternating current;intercourse;(cultural) exchange;intermingling
考慮	こうりょ	consideration;taking into account
効力	こうりょく	effect;efficacy;validity;potency
声	こえ	voice
越える	こえる	to cross over;to cross;to pass through;to pass over (out of)
超える	こえる	to cross over;to cross;to pass through;to pass over (out of)
氷	こおり	ice;shaved ice
焦がす	こがす	to burn;to scorch;to singe;to char
小柄	こがら	short (build)
呼吸	こきゅう	breath;respiration
故郷	こきょう	home town;birthplace;old village;historic village;native place;one's old home
故郷	こきょう	home town;birthplace;old village;historic village;native place;one's old home
小切手	こぎって	cheque;check
国王	こくおう	king
国語	こくご	national language
国際	こくさい	international
国産	こくさん	domestic products
国籍	こくせき	nationality
国定	こくてい	state-sponsored;national
国土	こくど	realm
告白	こくはく	confession;acknowledgement
黒板	こくばん	blackboard
克服	こくふく	subjugation;conquest
国防	こくぼう	national defence
国民	こくみん	national;people;citizen
穀物	こくもつ	grain;cereal;corn
国有	こくゆう	national ownership
国立	こくりつ	national
国連	こくれん	U.N.;United Nations
漕ぐ	こぐ	to row;to scull;to pedal
焦げ茶	こげちゃ	black tea
焦げる	こげる	to burn;to be burned
個々	ここ	individual;one by one
箇箇	ここ	individual;separate
心地	ここち	feeling;sensation;mood
九日	ここのか	nine days;the ninth day (of the month)
九つ	ここのつ	nine
心	こころ	mind;heart;spirit
心	こころ	mind;heart;spirit
心当たり	こころあたり	having some knowledge of;happening to know
心得	こころえ	knowledge;information
心得る	こころえる	to be informed;to have thorough knowledge
心掛け	こころがけ	readiness;intention;aim
心掛ける	こころがける	to bear in mind;to aim to do
志	こころざし	will;intention;motive
志す	こころざす	to plan;to intend;to aspire to;to set aims (sights on)
心強い	こころづよい	heartening;reassuring
心細い	こころぼそい	helpless;forlorn;hopeless;unpromising;lonely;discouraging;disheartening
試み	こころみ	trial;experiment
試みる	こころみる	to try;to test
快い	こころよい	pleasant;agreeable
凍える	こごえる	to freeze;to be chilled;to be frozen
凝らす	こごらす	to freeze;to congeal
凝る	こごる	to congeal;to freeze
腰	こし	hip
腰掛け	こしかけ	seat;bench
腰掛ける	こしかける	to sit (down)
故障	こしょう	break-down;failure;accident;out of order
胡椒	こしょう	pepper
拵える	こしらえる	to make;to manufacture
孤児	こじ	orphan
拗れる	こじれる	to get complicated;to grow worse
故人	こじん	the deceased;old friend
個人	こじん	individual;private person;personal;private
越す	こす	to go over (e.g. with audience)
越す	こす	to go over (e.g. with audience)
越す	こす	to go over (e.g. with audience)
超す	こす	to cross;to pass;to tide over
梢	こずえ	treetop
個性	こせい	individuality;personality;idiosyncrasy
戸籍	こせき	census;family register
小銭	こぜに	coins;small change
固体	こたい	solid (body)
答え	こたえ	answer;response
堪える	こたえる	to bear;to stand;to endure;to put up with;to support;to withstand;to resist;to brave;to be fit for;to be equal to
答える	こたえる	to answer;to reply
火燵	こたつ	table with heater;(orig) charcoal brazier in a floor well
古代	こだい	ancient times
	こだわる	to fuss over;to be particular about;to be concerned about
誇張	こちょう	exaggeration
	こちら	this person;this direction;this side
	こちらこそ	it is I who should say so
国家	こっか	state;country;nation
国会	こっかい	National Diet;parliament;congress
滑稽	こっけい	funny;humorous;comical;laughable;ridiculous;joking
国交	こっこう	diplomatic relations
骨折	こっせつ	bone fracture
	こっそり	stealthily;secretly
骨董品	こっとうひん	curio
骨	こつ	knack;skill
骨	こつ	knack;skill
小遣い	こづかい	personal expenses;pocket money;spending money;incidental expenses;allowance
小包	こづつみ	parcel;package
固定	こてい	fixation
古典	こてん	old book;classics;classic
事	こと	thing;matter;fact;circumstances;business;reason;experience
琴	こと	Koto (Japanese harp)
事柄	ことがら	matter;thing;affair;circumstance
悉く	ことごとく	altogether;entirely
今年	ことし	this year
言付ける	ことづける	to send word;to send a message
言伝	ことづて	declaration;hearsay
異なる	ことなる	to differ;to vary;to disagree
殊に	ことに	especially;above all
事によると	ことによると	depending on the circumstances
言葉	ことば	word(s);language;speech
言葉遣い	ことばづかい	speech;expression;wording
小鳥	ことり	small bird
諺	ことわざ	proverb;maxim
断る	ことわる	to refuse;to inform;to ask leave;to decline;to dismiss
孤独	こどく	isolation;loneliness;solitude
子供	こども	child;children
粉	こな	flour;meal;powder
	こないだ	the other day;lately;recently
粉々	こなごな	in very small pieces
此の	この	this
この間	このあいだ	the other day;lately;recently
この頃	このごろ	recently
好ましい	このましい	nice;likeable;desirable
好み	このみ	liking;taste;choice
好む	このむ	to like;to prefer
個別	こべつ	particular case
零す	こぼす	to spill
零れる	こぼれる	to overflow;to spill
細かい	こまかい	small;fine;minute
細やか	こまやか	friendly
困る	こまる	to be worried;to be bothered
混む	こむ	to be crowded
込む	こむ	to be crowded
込む	こむ	to be crowded
小麦	こむぎ	wheat
米	こめ	uncooked rice
込める	こめる	to include;to put into
篭る	こもる	to seclude oneself;to be confined in;to be implied;to be stuffy
小屋	こや	hut;cabin;shed;(animal) pen
固有	こゆう	characteristic;tradition;peculiar;inherent;eigen-
小指	こゆび	little finger
雇用	こよう	employment (long term);hire
暦	こよみ	calendar;almanac
堪える	こらえる	to bear;to stand;to endure;to put up with;to support;to withstand;to resist;to brave;to be fit for;to be equal to
孤立	こりつ	isolation;helplessness
懲りる	こりる	to learn by experience;to be disgusted with
此れ	これ	this
此れ等	これら	these
転がす	ころがす	to roll
転がる	ころがる	to roll;to tumble
殺す	ころす	to kill
転ぶ	ころぶ	to fall down
怖い	こわい	frightening;eerie
壊す	こわす	to break;to break down
壊れる	こわれる	to be broken;to break
魂	こん	soul;spirit
紺	こん	navy blue;deep blue
今回	こんかい	now;this time;lately
根気	こんき	patience;perseverance;energy
根拠	こんきょ	basis;foundation
混血	こんけつ	mixed race;mixed parentage
今後	こんご	from now on;hereafter
混合	こんごう	mixing;mixture
混雑	こんざつ	confusion;congestion
献立	こんだて	menu;program;schedule
昆虫	こんちゅう	insect;bug
根底	こんてい	root;basis;foundation
今度	こんど	now;this time;next time;another time
混同	こんどう	confusion;mixing;merger
	こんな	such;like this
	こんなに	so;like this;in this way
困難	こんなん	difficulty;distress
今日は	こんにちは	hello;good day (daytime greeting  id)
今晩は	こんばんは	good evening
根本	こんぽん	origin;source;foundation;root;base;principle
婚約	こんやく	engagement;betrothal
混乱	こんらん	disorder;chaos;confusion
五	ご	(num) five
語	ご	language;word
碁	ご	Go (board game of capturing territory)
御	ご	go-;honourable
語彙	ごい	vocabulary;glossary
濠	ごう	moat
業	ごう	Buddhist karma;actions committed in a former life
号	ごう	number;issue
合意	ごうい	agreement;consent;mutual understanding
強引	ごういん	overbearing;coercive;pushy;forcible;high-handed
豪華	ごうか	wonderful;gorgeous;splendor;pomp;extravagance
合格	ごうかく	success;passing (e.g. exam);eligibility
合議	ごうぎ	consultation;conference
強気	ごうぎ	great;grand
合計	ごうけい	sum total;total amount
合成	ごうせい	synthesis;composition;synthetic;composite;mixed;combined;compound
強盗	ごうとう	robbery;burglary
合同	ごうどう	combination;incorporation;union;amalgamation;fusion;congruence
合理	ごうり	rational
合流	ごうりゅう	confluence;union;linking up;merge
護衛	ごえい	guard;convoy;escort
誤解	ごかい	misunderstanding
語学	ごがく	language study
語句	ごく	words;phrases
極	ごく	quite;very
極楽	ごくらく	paradise
ご苦労様	ごくろうさま	Thank you very much for your....
語源	ごげん	word root;word derivation;etymology
午後	ごご	afternoon;p.m.;pm
誤差	ごさ	error
ご座います	ございます	to be (polite);to exist
五十音	ごじゅうおん	the Japanese syllabary
午前	ごぜん	morning;A.M.;am
ご馳走	ごちそう	feast;treating (someone)
ご馳走さま	ごちそうさま	feast
毎	ごと	each respectively
毎	ごと	each respectively
毎	ごと	each respectively
御飯	ごはん	rice (cooked);meal
碁盤	ごばん	Go board
ご無沙汰	ごぶさた	not writing or contacting for a while
誤魔化す	ごまかす	to deceive;to falsify;to misrepresent
塵	ごみ	rubbish;trash;garbage
塵	ごみ	rubbish;trash;garbage
御免	ごめん	your pardon;declining (something);dismissal;permission
御免ください	ごめんください	May I come in?
御免なさい	ごめんなさい	I beg your pardon;excuse me
娯楽	ごらく	pleasure;amusement
御覧	ごらん	look;inspection;try
御覧なさい	ごらんなさい	(please) look;(please) try to do
佐	さ	help
差	さ	difference;variation
	さあ	come (int);come now
再	さい	re-;again;repeated
差異	さい	difference;disparity
歳	さい	#NAME?
再会	さいかい	another meeting;meeting again;reunion
災害	さいがい	calamity;disaster;misfortune
細菌	さいきん	bacillus;bacterium;germ
最近	さいきん	latest;most recent;nowadays
細工	さいく	work;craftsmanship;tactics;trick
採掘	さいくつ	mining
採決	さいけつ	vote;roll call
再建	さいけん	rebuilding;reconstruction;rehabilitation
再現	さいげん	reappearance;reproduction;return;revival
最高	さいこう	highest;supreme;the most
最後	さいご	last;end;conclusion
採算	さいさん	profit
再三	さいさん	again and again;repeatedly
採集	さいしゅう	collecting;gathering
最終	さいしゅう	last;final;closing
最初	さいしょ	beginning;outset;first;onset
祭日	さいじつ	national holiday;festival day
再生	さいせい	playback;regeneration;resuscitation;return to life;rebirth;reincarnation;narrow escape;reclamation;regrowth
最善	さいぜん	the very best
催促	さいそく	request;demand;claim;urge (action);press for
採択	さいたく	adoption;selection;choice
最中	さいちゅう	in the middle of;height of;in course of;midst
最中	さいちゅう	in the middle of;height of;in course of;midst
最低	さいてい	least;lowest;worst;nasty;disgusting;"fuck you"
採点	さいてん	marking;grading;looking over
災難	さいなん	calamity;misfortune
才能	さいのう	talent;ability
再発	さいはつ	return;relapse;reoccurrence
栽培	さいばい	cultivation
裁判	さいばん	trial;judgement
財布	さいふ	purse;wallet
裁縫	さいほう	sewing
細胞	さいぼう	cell (biology)
採用	さいよう	use;adopt
幸い	さいわい	happiness;blessedness
遮る	さえぎる	to interrupt;to intercept;to obstruct
囀る	さえずる	to sing;to chirp;to twitter
冴える	さえる	to be clear;to be serene;to be cold;to be skillful
竿	さお	rod;pole (e.g. for drying laundry)
坂	さか	slope;hill
境	さかい	border;boundary;mental state
栄える	さかえる	to prosper;to flourish
逆さ	さかさ	reverse;inversion;upside down
逆様	さかさま	inversion;upside down
杯	さかずき	wine cups
杯	さかずき	wine cups
逆立ち	さかだち	handstand;headstand
逆上る	さかのぼる	to go back;to go upstream;to make retroactive
酒場	さかば	bar;bar-room
逆らう	さからう	to go against;to oppose;to disobey;to defy
盛り	さかり	summit;peak;prime;be at one's best
盛る	さかる	to prosper;to flourish;to copulate (animals)
盛ん	さかん	popularity;prosperous
性	さが	one's nature;custom;property;characteristic
性	さが	one's nature;custom;property;characteristic
差額	さがく	balance;difference;margin
捜す	さがす	to search;to seek;to look for
探す	さがす	to search;to seek;to look for
下がる	さがる	to hang down;to abate;to retire;to fall;to step back
先	さき	point (e.g. pencil);destination;tip;end;nozzle;head (of a line);the first priority;the future;objective;sequel;remainder;the other party;future;previous;prior;former
先	さき	point (e.g. pencil);destination;tip;end;nozzle;head (of a line);the first priority;the future;objective;sequel;remainder;the other party;future;previous;prior;former
一昨昨日	さきおととい	two days before yesterday
先に	さきに	before;earlier than;ahead;beyond;away;previously;recently
先程	さきほど	some time ago
詐欺	さぎ	fraud;swindle
作業	さぎょう	work;operation;manufacturing;fatigue duty
作	さく	a work;a harvest
策	さく	plan;policy
柵	さく	fence;paling
咲く	さく	to bloom
裂く	さく	to tear;to split
昨	さく	last (year);yesterday
索引	さくいん	index;indices
削減	さくげん	cut;reduction;curtailment
錯誤	さくご	mistake
作者	さくしゃ	author;authoress
削除	さくじょ	elimination;cancellation;deletion;erasure
作成	さくせい	frame;draw up;make;producing;creating;preparing;writing
作戦	さくせん	military or naval operations;tactics;strategy
作品	さくひん	work;opus;performance;production
作物	さくぶつ	literary work
作文	さくぶん	composition;writing
桜	さくら	cherry blossom;cherry tree
探る	さぐる	to search;to look for;to sound out
酒	さけ	alcohol;sake
酒	さけ	alcohol;sake
叫び	さけび	shout;scream;outcry
叫ぶ	さけぶ	to shout;to cry
裂ける	さける	to split;to tear;to burst
避ける	さける	to avoid
避ける	さける	to avoid
下げる	さげる	to hang;to lower;to move back;to wear;to dismiss;to grant
支える	ささえる	to support;to prop
捧げる	ささげる	to lift up;to give;to offer;to consecrate;to devote;to sacrifice;to dedicate
囁く	ささやく	to whisper;to murmur
刺さる	ささる	to stick;to be stuck
差し上げる	さしあげる	to give;to hold up;to lift up;to offer
差し掛かる	さしかかる	to come near to;to approach
指図	さしず	instruction;mandate
差し出す	さしだす	to present;to submit;to tender;to hold out
差し支え	さしつかえ	hindrance;impediment
差し支える	さしつかえる	to interfere;to hinder;to become impeded
